-0.10223,-0.080764
0.13917,0.0059778
0.19369,0.19388
0.32119,0.14755
-0.090345,0.11606
0.18954,0.020133
0.16453,0.043789
0.10517,0.11219
0.68778,0.47562
-0.026948,-0.045109
-0.13481,-0.15215
0.075133,-0.10186
0.074318,-0.087138
0.40611,0.36529
-0.05594,-0.15968
0.17744,0.1587
0.17284,0.0066789
0.02462,-0.046367
0.23864,0.24073
0.019253,-0.17116
0.23954,0.10616
0.15411,0.087387
0.62221,0.51667
0.23808,0.16726
0.15598,-0.025565
-0.092444,-0.064164
0.11848,0.032212
-0.0068926,-0.019922
0.021399,0.083663
0.086333,-0.0084716
-0.022424,0.10282
0.076961,0.069499
0.11216,0.048503
0.42062,0.4432
0.10068,0.041253
0.16939,-0.070849
-0.15316,-0.23569
0.23101,0.14398
0.30794,0.15653
